Duration,Pulse,Maxpulse,Calories,Date,Gender
60,110,130,409.1,1/1/2023,Male
60,117,145,479,1/2/2023,Male
60,103,135,340,1/3/2023,Male
45,109,175,282.4,,Male
45,117,148,406,1/5/2023,Male
60,102,127,300,1/6/2023,Male
60,110,136,374,,Male
45,104,134,253.3,1/8/2023,Male
30,109,133,195.1,1/9/2023,Male
60,98,124,269,1/10/2023,Male
60,103,147,329.3,1/11/2023,Male
60,100,120,250.7,,Male
60,106,128,345.3,1/13/2023,Male
60,104,132,379.3,1/14/2023,Male
60,98,123,275,1/15/2023,Male
60,98,120,215.2,1/16/2023,Male
60,100,120,300,1/17/2023,Male
45,90,112,,1/18/2023,Male
60,103,123,323,1/19/2023,Male
45,97,125,243,1/20/2023,Male
60,108,131,364.2,1/21/2023,Male
45,100,119,282,1/22/2023,Male
60,130,101,300,1/23/2023,Male
45,105,132,246,1/24/2023,Male
60,102,126,334.5,1/25/2023,Male
60,100,120,250,1/26/2023,Male
60,92,118,241,,Female
60,103,132,,1/28/2023,Female
60,100,132,280,1/29/2023,Female
60,102,129,380.3,1/30/2023,Female
60,92,115,243,1/31/2023,Female
45,90,112,180.1,2/1/2023,Female
60,101,124,299,2/2/2023,Female
60,93,113,223,2/3/2023,Female
60,107,136,361,2/4/2023,Female
60,114,140,415,2/5/2023,Female
60,102,127,300,2/6/2023,Female
60,100,120,300,2/7/2023,Female
60,100,120,300,2/8/2023,Female
45,104,129,266,2/9/2023,Female
45,90,112,180.1,2/10/2023,Female
60,98,126,286,2/11/2023,Female
60,100,122,329.4,2/12/2023,Female
60,111,138,400,2/13/2023,Female
60,111,131,397,2/14/2023,Female
60,99,119,273,2/15/2023,Female
60,109,153,387.6,2/16/2023,Female
45,111,136,300,2/17/2023,Female
45,108,129,298,2/18/2023,Female
60,111,139,397.6,2/19/2023,Female
60,107,136,380.2,2/20/2023,Female
80,123,146,643.1,2/21/2023,Female
60,106,130,263,2/22/2023,Female
60,118,151,486,2/23/2023,Female
30,136,175,238,2/24/2023,Female
60,121,146,450.7,2/25/2023,Female
60,118,121,413,2/26/2023,Female
45,115,144,305,2/27/2023,Female
20,153,172,226.4,2/28/2023,Female
45,123,152,321,3/1/2023,Male
210,108,160,1376,3/2/2023,Female
160,110,137,1034.4,3/3/2023,Male
160,109,135,853,3/4/2023,Female
45,118,141,341,3/5/2023,Male
20,110,130,131.4,3/6/2023,Male
180,90,130,800.4,3/7/2023,Female
150,105,135,873.4,3/8/2023,Female
150,107,130,816,3/9/2023,Male
20,106,136,110.4,3/10/2023,Male
300,108,143,1500.2,3/11/2023,Male
150,97,129,1115,3/12/2023,Female
60,109,153,387.6,3/13/2023,Male
90,100,127,700,3/14/2023,Male
150,97,127,953.2,3/15/2023,Male
45,114,146,304,3/16/2023,Female
90,98,125,563.2,3/17/2023,Male
45,105,134,251,3/18/2023,Male
45,110,141,300,3/19/2023,Male
120,100,130,500.4,3/20/2023,Female
270,100,131,1729,3/21/2023,Male
30,159,182,319.2,3/22/2023,Male
45,149,169,344,3/23/2023,Male
30,103,139,151.1,3/24/2023,Male
120,100,130,500,3/25/2023,Male
45,100,120,225.3,3/26/2023,Male
30,151,170,300,3/27/2023,Male
45,102,136,234,3/28/2023,Male
120,100,157,1000.1,3/29/2023,Male
45,129,103,242,3/30/2023,Male
20,83,107,50.3,3/31/2023,Male
180,101,127,600.1,4/1/2023,Male
45,107,137,,4/2/2023,Male
30,90,107,105.3,4/3/2023,Male
15,80,100,50.5,4/4/2023,Male
20,150,171,127.4,4/5/2023,Male
