Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances,Best_model
modified_reg1,4,1.3862943611198906,500,6.214608098422191,500,500,0,0,8.965784284662087,0.002,0.002,0.002,8.682304029412048e-19,134464.7485313127,268929497.0626254,83190.44328228882,-0.087478288,0.139755245,0.006851948,0.096573461,-0.33406563,0.2272380061838461,-0.022331964,0.2426503369959155,0.008,LinearRegression
modified_reg10,11,2.3978952727983707,9994,9.209740192,7287,9994,7,1427.7142857142858,12.559056756414606,0.006503902,0.00010006,0.000137231,0.000145393,65.61516840104063,2623031.972,293.5100424518692,1.278544752722342,12.97275234181623,5.874255851107694,5.535086535301034,1.991889366482132,397.1885145524141,176.7254258,204.9847569705179,0.00110066,DecisionTreeRegressor
modified_reg11,6,1.791759469228055,1463,7.288244401020124,25,1463,5,292.6,3.437818443671274,0.1667805878332194,0.000683527,0.04,0.05574068,4.096650717703349,5993.4,,-1.257463592,-1.257463592,-1.257463592,,4.392425411953729,4.392425411953729,4.392425411953729,,0.004101162,Ridge
modified_reg12,8,2.079441541679836,6435,8.769507120030227,348,6435,0,0,8.221791094295007,0.012121212,0.000621601,0.002873563,0.001708383,0.008784037,452.2022113203213,0.2632326108450518,-0.000408466,3.3734986714578485,0.4224346715100118,1.1924114283684697,-0.160706408,9.383409556463407,1.0843170116441665,3.3550952075548035,0.001243201,Random Forest
modified_reg13,5,1.6094379124341005,3900,8.268731832117737,81,3900,1,3900,6.325247728191413,0.015897436,0.008461538,0.012345679,0.001750416,33.233576923076924,518443.8,9.504021744,-0.006379722,0.012701758,0.003491947,0.007820365,-1.236593691,-1.179628302,-1.200374132,0.024993119,0.001282051,Linear Regression
modified_reg14,5,1.6094379124341005,2845,7.953318346560431,2653,2845,0,0,11.333760221890277,0.001405975,0.000351494,0.000376932,0.000101262,6291352.598073112,89494490707.59001,12723699.647097478,2.2798806038980644,2.656258764,2.572715542,0.163851319,5.686873419805963,8.972497062078805,6.393106391,1.4426514351807755,0.001757469,Linear Regression
modified_reg15,11,2.3978952727983707,10000,9.210340371976184,5876,10000,0,0,12.283310739886184,0.0009,0.0001,0.000170184,0.000108809,91000.18746602464,10010020621.26271,131.27860425138766,-2.060361346,0.8249277797643948,-0.119121811,0.8662262063427821,-1.851497418,3.2896448552835627,-0.421606531,1.4528412712337784,0.0011,RandomForestRegressor
modified_reg16,12,2.4849066497880004,4999,8.516993171,2,4999,1,4999,0.4562482280861328,0.903980796,0.096019204,0.5,0.5713151208666665,16.63623797,914810.09,31.837343150843083,-0.394443613,3.691267106777421,1.3118560398354686,1.328787717191386,-1.845152605,11.63010566671461,2.0077438268566947,4.28550707,0.00240048,Decision tree
modified_reg17,14,2.6390573296152584,180519,12.10359131437319,193,180519,0,0,5.222282896888298,0.1239315529113278,4.985624781878916e-05,0.005181347,0.015088993,7427.125344,18770321359.01338,13735.609362107316,-1.166418691,6.439303119629733,0.7226736798920638,1.8682729543370835,-1.962356958,39.46506190632974,3.581378365153028,12.305269654283853,7.755416327367202e-05,XGBoost
modified_reg18,7,1.9459101490553128,47544,10.769410877046496,6132,47544,0,0,8.745141622810214,0.2089012283358573,2.1033148241628808e-05,0.000163079,0.002711806,167505.15883933078,55747056903,5095543.950598915,0.8074656444392995,190.88799370046803,81.04706657038666,59.54153990606253,0.390892335,39213.37389139531,11601.264061797008,13230.27651249951,0.000147232,RandomForestRegressor
modified_reg19,14,2.6390573296152584,32561,10.390870532175567,2,32561,0,0,0.7963839552022132,0.7591904425539756,0.2408095574460244,0.5,0.3665506390973169,13648.451291422254,6221701115,28116.857262892103,-4.243158293,11.953847687699794,0.9723206442222712,3.699745221041265,-1.482709303,154.7994378542533,14.353141820608991,41.02356251,0.000429962,XGBoost
modified_reg2,13,2.5649493574615367,506,6.226536669287466,455,506,0,0,8.773953184356728,0.005928854,0.001976285,0.002197802,0.000689635,44.37079586804499,291871.0952,45.31942165676657,-0.802324927,5.223148798243851,1.198652540089281,1.6194940502889732,-1.233539601,37.13050912952203,3.892885172563052,10.415174005828035,0.0256917,XGBoost
modified_reg20,11,2.3978952727983707,52,3.951243718581428,52,52,0,0,5.7004397181410935,0.019230769,0.019230769,0.019230769,3.50329601645911e-18,1817.515826692343,1039619.0528680204,4144.735428478693,-1.014857941,2.40677184,1.2154459517807998,1.1926128600406316,-1.270290782,7.540642604517833,3.1812204763810485,2.8059514609664893,0.2115384615384615,RandomForestRegressor
modified_reg21,41,3.713572066704308,5711,8.650149418664864,4763,5711,0,0,12.217351905270334,0.000209996,0.000209996,0.000209996,0,25551.299953954585,4988686905.610001,88854.35688931952,-0.107864298,19.066710229017467,6.015488281,3.478776425963403,-1.827329936,361.6913461215139,46.10368894602065,68.39357537946303,0.007179128,Polynomial Regression (PNR)
modified_reg22,8,2.079441541679836,5658,8.640825751861513,5658,5658,0,0,12.466076461396248,0.000176741,0.000176741,0.000176741,0,132898.32984200702,6015510001.968606,203903.2604833703,-0.384126542,0.6384219789174013,0.02891138,0.2917077006055392,-1.801850571,-0.043122157,-1.040848369,0.5874626547580403,0.001413927,RandomForestRegressor
modified_reg23,22,3.091042453358316,550068,13.217797185929944,18105,550068,0,0,13.250226147854166,0.00034723,1.817957052582589e-06,5.5233360950013806e-05,6.7943813674355e-05,422.3379898650547,5110921495,1070.7036173265408,-1.173946092,5.783764547197149,1.5038277711715045,1.5813040109859435,-1.895622733,31.452046694341632,2.8908403989447304,8.166292991122692,3.999505515681697e-05,Linear Regression
modified_reg24,13,2.5649493574615367,9994,9.209740192,5825,9994,9,1110.4444444444443,12.113353058786773,0.005603362,0.00010006,0.000171674,0.000187604,65.61516840104063,2623031.972,293.5100424518692,1.278544752722342,12.97275234181623,5.874255851107694,5.535086535301034,1.991889366482132,397.1885145524141,176.7254258,204.9847569705179,0.00130078,Random Forest
modified_reg25,18,2.8903717578961645,99457,11.50748066893427,40,99457,0,0,4.991716393,0.069879445,0.009270338,0.025,0.01872968,178.94594713740057,320353687.2,1006.7596979814092,-0.400046078,4.125592252438737,2.151270284167759,1.2460753995483336,-1.840000137,15.02081348941445,4.493708482392034,5.770416291259935,0.000180983,Decision Tree
modified_reg26,18,2.8903717578961645,99457,11.50748066893427,40,99457,0,0,4.991716393,0.069879445,0.009270338,0.025,0.01872968,178.94594713740054,320353687.2,1006.7596979814092,-0.400046078,4.125592252438737,2.151270284167759,1.2460753995483338,-1.840000137,15.02081348941445,4.493708482392034,5.770416291259935,0.000180983,Random Forest
