Regression_index,DataSet_Name,all_features,X,y,Best_model,rows,columns
1,Avocado Prices,"	Date	AveragePrice	Total Volume	4046	4225	4770	Total Bags	Small Bags	Large Bags	XLarge Bags	type	year	region","Total Volume	Total Bags type	year	region",AveragePrice,Random Forest,18250,13
2,Boston ,"CRIM', 'ZN', 'INDUS', 'CHAS', 'NOX', 'RM', 'AGE', 'DIS', 'RAD', 'TAX', 'PTRATIO', 'B', 'LSTAT', 'MEDV'","CRIM', 'ZN', 'NOX', 'RM', 'AGE', 'DIS', 'PTRATIO', 'B'",LSTAT',"	XGBoost",506,14
3,Cinema Tickets,"film_code	cinema_code	total_sales	tickets_sold	tickets_out	show_time	occu_perc	ticket_price	ticket_use	capacity	date	month	quarter	day","ticket_price', 'occu_perc', 'show_time', 'tickets_sold','ticket_use','capacity'",total_sales,Timeseries,142524,14
4,Big Mart,Item_Identifier        Item_Weight        Item_Fat_Content        Item_Visibility        Item_Type        Item_MRP        Outlet_Identifier        Outlet_Establishment_Year        Outlet_Size        Outlet_Location_Type        Outlet_Type        Item_Outlet_Sales,Item_Identifier        Item_Weight        Item_Fat_Content        Item_Visibility        Item_Type        Item_MRP        Outlet_Identifier        Outlet_Establishment_Year        Outlet_Size        Outlet_Location_Type        Outlet_Type,Item_Outlet_Sales,Lasso,8523,12
5,House price,"id	url	region	region_url	price	type	sqfeet	beds	baths	cats_allowed	...	wheelchair_access	electric_vehicle_charge	comes_furnished	laundry_options	parking_options	image_url	description	lat	long	state","sqfeet	beds	baths	cats_allowed	dogs_allowed	smoking_allowed	wheelchair_access	electric_vehicle_charge	comes_furnished	lat	long","price	",Random Forest,384977,22
6,Retail Sales,date sell stock price,date sell stock,"price	",XGBoost,937,4
7,Walmart Cleaned Data,"Store	Date	IsHoliday	Dept	Weekly_Sales	Temperature	Fuel_Price	MarkDown1	MarkDown2	MarkDown3	MarkDown4	MarkDown5	CPI	Unemployment	Type	Size","Size', 'Dept', 'IsHoliday', 'Type', 'CPI', 'Unemployment', 'Month', 'Size_Type'",Weekly_Sales',Random Forest,421570,16
8,Online Retail Transaction Data,InvoiceNo        StockCode        Description        InvoiceDate        total_sales      CustomerID        Country,"""Country"", ""Month""",total_sales,Linear Regression,541909,9
9,Summer Products Sales Performance,"price', 'retail_price', 'units_sold', 'uses_ad_boosts',  'badges_count', 'badge_product_quality', 'badge_fast_shipping', 'product_color',  'product_variation_size_id', 'origin_country', 'merchant_id'","
  ",rating,Random Forest,1573,13
10,Cars Price,fueltype        doornumber        carbody        drivewheel        enginetype        cylindernumber        aspiration        symboling        wheelbase        curbweight        carheight        enginesize        boreratio        horsepower        highwaympg        price        compressionratio        peakrpm,fueltype        doornumber        carbody        drivewheel        enginetype        cylindernumber        aspiration        symboling        wheelbase        curbweight        carheight        enginesize        boreratio        horsepower        highwaympg        compressionratio        peakrpm,"price	",Random Forest,205,26
11,Super Store,Order ID        Order Date        Ship Date        Ship Mode        Customer ID        Customer Name        Segment        Country        City        State        Postal Code        Region        Product ID        Category        Sub-Category        Product Name        Sales        Quantity        Discount        Gain_Loss,"Ship Mode	Segment	City	State	Region	Category	Sub-Category	Sales	Quantity	Discount	Profit	Delivery time (Days)",Profit,DecisionTreeRegressor,9994,20
12,Amazon Sales,"product_id', 'product_name', 'category', 'discounted_price','actual_price', 'discount_percentage', 'rating', 'rating_count', 'about_product', 'user_id', 'user_name', 'review_id', 'review_title', 'review_content', 'img_link', 'product_link', 'encoderd_category'","actual_price','discounted_price','rating_count','category'",rating',Ridge,1465,16
13,Walmart Sales,"Store	Date	Weekly_Sales	Temperature	Fuel_Price	CPI	Unemployment	Holiday_Flag","Store	Date	Weekly_Sales	Temperature	Fuel_Price	CPI	Holiday_Flag",Unemployment        ,Random Forest ,6435,8
14,Consumer Behavior and Shopping Habits ,"Customer ID	Age	Gender	Item Purchased	Category	Purchase Amount (USD)	Location	Size	Color	Season	Review Rating	Subscription Status	Payment Method	Shipping Type	Discount Applied	Promo Code Used	Previous Purchases	Preferred Payment Method	Frequency of Purchases","Discount Applied','Age', 'Review Rating', 'Previous Purchases'",Purchase Amount (USD),Linear Regression,3900,19
15,Tesla Latest Stock Data,"Open	High	Low	Close	Volume	Dividends	Stock Splits","High','Low','Open','Volume'",Close',Linear Regression,2845,8
16,BLACK FRIDAY SALES,User_ID        Product_ID        Gender        Age        Occupation        City_Category        Stay_In_Current_City_Years        Marital_Status        Product_Category_1        Product_Category_2        Product_Category_3        Purchase ,Gender        Age        Occupation        City_Category        Stay_In_Current_City_Years        Marital_Status        Product_Category_1        Product_Category_2        Product_Category_3 ,Purchase,RandomForestRegressor,550068,12
17,Personal Loan,"ID	Age	Experience	Income	ZIP Code	Family	CCAvg	Education	Mortgage	Personal Loan	Securities Account	CD Account	Online	CreditCard","Age	Experience	Income	ZIP Code	Family	CCAvg	Education	Mortgage		Securities Account	CD Account	Online	CreditCard",Personal Loan,Decision tree,5000,
18,DataCo SMART SUPPLY CHAIN,"Type', 'Benefit per order', 'Sales per customer', 
          'Delivery Status', 'Late_delivery_risk', 'Category Name', 'Customer City', 'Customer Country', 
           'Customer Id', 'Customer Segment', 
          'Customer State', 'Customer Zipcode', 'Department Name', 'Latitude', 'Longitude',
          'Market', 'Order City', 'Order Country', 'Order Customer Id', 'order date (DateOrders)', 'Order Id', 
          'Order Item Cardprod Id', 'Order Item Discount', 'Order Item Discount Rate', 'Order Item Id', 
          'Order Item Product Price', 'Order Item Profit Ratio', 'Order Item Quantity', 'Sales', 'Order Item Total', 
          'Order Profit Per Order', 'Order Region', 'Order State', 'Order Status', 'Order Zipcode', 'Product Card Id',
          'Product Category Id', 'Product Description', 'Product Image', 'Product Name', 'Product Price', 'Product Status',
       'shipping date (DateOrders)', 'Shipping Mode']","Order Id', 'Order Item Discount', 'Order Item Cardprod Id',
       'shipping date (DateOrders)', 'order date (DateOrders)',
       'Order Customer Id', 'Order Profit Per Order', 'Market',
       'Order Region', 'Order State', 'Order Item Total',
       'Department Name', 'Product Card Id', 'Customer Id',
       'Product Category Id', 'Product Image', 'Category Name',
       'Product Name', 'Product Price', 'Sales per customer',
       'Benefit per order', 'Order Zipcode', 'Order Item Id',
       'Order City', 'Customer Segment'",Sales,XGBoost ,,
19,NYC Property Sales,"Unnamed: 0', 'BOROUGH', 'NEIGHBORHOOD', 'BUILDING CLASS CATEGORY', 'TAX CLASS AT PRESENT', 'BLOCK', 'LOT', 'EASE-MENT', 'BUILDING CLASS AT PRESENT', 'ADDRESS', 'APARTMENT NUMBER', 'ZIP CODE', 'RESIDENTIAL UNITS', 'COMMERCIAL UNITS', 'TOTAL UNITS', 'LAND SQUARE FEET', 'GROSS SQUARE FEET', 'YEAR BUILT', 'TAX CLASS AT TIME OF SALE', 'BUILDING CLASS AT TIME OF SALE', 'SALE PRICE', 'SALE DATE'","BLOCK', 'RESIDENTIAL UNITS', 'COMMERCIAL UNITS', 'TOTAL UNITS        LAND SQUARE FEET', 'GROSS SQUARE FEET', 'BUILDING AGE'",sale_price',RandomForestRegressor,84548,22
