Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances
modified_reg1,4,1.3862943611198906,500,6.214608098422191,500,4,0,0.0,8.965784284662087,0.002,0.002,0.002,8.682304029412048e-19,134464.7485313127,246824597.4534154,83190.44328228882,-0.0874782875337989,0.13975524504816,0.0068519483037147,0.0965734607620786,-0.3340656296491238,0.2272380061838461,-0.0223319641833337,0.2426503369959155,0.008
modified_reg10,17,2.833213344056216,9994,9.20974019190415,2,7,10,0.7,0.6904891346115123,0.8151891134680809,0.1848108865319191,0.5,0.4457447189789123,81.76451545212844,5747037.972000001,228.9182104727094,-0.4209302777432467,12.97275234181623,2.0928479090532104,3.3984738878786223,-1.843359318534594,397.1885145524141,41.88657161917656,117.62207162127412,0.0017010206123674
modified_reg11,6,1.791759469228055,1463,7.288244401020124,25,6,0,0.0,3.437818443671274,0.1667805878332194,0.0006835269993164,0.04,0.0557406803534787,187.0734107997266,1636137.0,129.65324096114256,-1.257463591777952,0.9260684470778756,-0.06138958059929,0.6991080794322933,-1.3613175893478895,4.392425411953729,0.0682160177325575,2.2309609501014376,0.0041011619958988
modified_reg12,8,2.079441541679836,6435,8.769507120030227,348,8,0,0.0,8.221791094295007,0.0121212121212121,0.0006216006216006,0.0028735632183908,0.0017083830633797,0.0087840367389339,450.37983881704,0.2632326108450518,-0.0004084659996901,3.3734986714578485,0.4224346715100118,1.1924114283684697,-0.1607064081691409,9.383409556463407,1.0843170116441665,3.3550952075548035,0.0012432012432012
modified_reg13,5,1.6094379124341005,3900,8.268731832117737,2,4,1,4.0,0.9858150371789198,0.57,0.43,0.5,0.0989949493661166,33.233576923076924,518443.8,9.50402174369183,-0.0063797217209905,0.2828938240799122,0.0593723223881172,0.1251357277663974,-1.9209564533528871,-1.1796283021299137,-1.3444905960627358,0.3229802910855512,0.0012820512820512
modified_reg14,5,1.6094379124341005,2845,7.953318346560431,2653,5,0,0.0,11.333760221890277,0.0014059753954305,0.0003514938488576,0.0003769317753486,0.0001012618164217,6291352.598073112,89494189554.4164,12723699.647097478,2.2798806038980644,2.65625876403322,2.57271554226158,0.163851319019923,5.686873419805963,8.972497062078805,6.3931063910783,1.4426514351807755,0.0017574692442882
modified_reg15,12,2.4849066497880004,10000,9.210340371976184,5876,12,0,0.0,12.283310739886184,0.0009,0.0001,0.0001701837985023,0.0001088087930564,83417.58447025946,10010020621.262712,125.86756551035997,-2.060361346319161,0.8249277797643948,-0.1977869967500848,0.8697085365720719,-1.851497418152357,3.2896448552835627,-0.2192739486115509,1.5524571771021194,0.0012
modified_reg16,12,2.4849066497880004,4999,8.51699317141357,2,12,0,0.0,0.4562482280861328,0.903980796159232,0.0960192038407681,0.5,0.5713151208666665,15.371992565179704,921655.09,30.61098738115972,-0.3944436131572885,3.691267106777421,1.2080832113253654,1.3169610184494405,-1.8451526048782607,11.63010566671461,1.70869026874348,4.215349317082861,0.0024004800960192
modified_reg17,14,2.6390573296152584,180519,12.10359131437319,193,14,0,0.0,5.222282896888298,0.1239315529113278,4.985624781878916e-05,0.005181347150259,0.0150889934704505,7427.12534375621,18733536624.0,13735.609362107316,-1.1664186910628178,6.439303119629733,0.7226736798920638,1.8682729543370835,-1.9623569579002984,39.46506190632974,3.581378365153028,12.305269654283853,7.755416327367202e-05
modified_reg18,7,1.9459101490553128,47544,10.769410877046496,6132,7,0,0.0,8.745141622810214,0.2089012283358573,2.1033148241628808e-05,0.0001630789302022,0.0027118061974985,167505.15883933078,563229669.0,5095543.950598915,0.8074656444392995,190.88799370046803,81.04706657038666,59.54153990606253,0.390892335028119,39213.37389139531,11601.264061797008,13230.27651249951,0.0001472320376914
